Book Title,Pen Name,Release Month,Drafting Months,Revision Weeks (8-10),Production Month,Cadence Check,Overload Check
JPW-2026-Winter,J.P. White,2026-01-01,Aug 2025 + Sep 2025,D2-D5 in Oct 2025; D6-D7 + buffer in Nov 2025,Dec 2025,OK,OK
JB-2026-Spring,Jade Black,2026-04-01,Nov 2025 + Dec 2025,D2-D5 in Jan 2026; D6-D7 + buffer in Feb 2026,Mar 2026,OK,OK
IW-2026-Summer,Indigo Winter,2026-06-01,Jan 2026 + Feb 2026,D2-D5 in Mar 2026; D6-D7 + buffer in Apr 2026,May 2026,OK,OK
JB-2026-Fall,Jade Black,2026-11-01,Jun 2026 + Jul 2026,D2-D5 in Aug 2026; D6-D7 + buffer in Sep 2026,Oct 2026,OK,OK
JPW-2027-Winter,J.P. White,2027-01-01,Aug 2026 + Sep 2026,D2-D5 in Oct 2026; D6-D7 + buffer in Nov 2026,Dec 2026,OK,OK
JB-2027-Spring,Jade Black,2027-03-01,Oct 2026 + Nov 2026,D2-D5 in Dec 2026; D6-D7 + buffer in Jan 2027,Feb 2027,OK,OK
IW-2027-Summer-A,Indigo Winter,2027-05-01,Dec 2026 + Jan 2027,D2-D5 in Feb 2027; D6-D7 + buffer in Mar 2027,Apr 2027,OK,OK
JPW-2027-Summer,J.P. White,2027-07-01,Feb 2027 + Mar 2027,D2-D5 in Apr 2027; D6-D7 + buffer in May 2027,Jun 2027,OK,OK
IW-2027-Fall,Indigo Winter,2027-09-01,Apr 2027 + May 2027,D2-D5 in Jun 2027; D6-D7 + buffer in Jul 2027,Aug 2027,OK,OK
JB-2027-Fall,Jade Black,2027-11-01,Jun 2027 + Jul 2027,D2-D5 in Aug 2027; D6-D7 + buffer in Sep 2027,Oct 2027,OK,OK
